username,location,sentiment,sentiment-score,text,time_zone,created_at,place,lang,quote_count,reply_count,retweeted,retweet_count,favorited,favorite_count,timestamp_ms,followers_count,friends_count,statuses_count
Val Giddings,,POSITIVE,0.6756635308000001,Cornell’s sustainable pest control pioneer weathers storm over GMO moth experiment https://t.co/jpWvP51zyP,Atlantic Time (Canada),Mon Sep 18 17:16:08 +0000 2017,,en,0,0,False,0,False,0,1505754968656,2713,1742,80054
Johnathan J. Dalzell,"Belfast, Northern Ireland, UK",NEUTRAL,0.4327539206,Genetically engineeted diamondback moth field trial - commendable transparency from the start @IPMguy @Oxitec  https://t.co/FRNSbVhMIa #GMO,Dublin,Mon Sep 18 17:16:55 +0000 2017,,en,0,0,False,0,False,0,1505755015429,946,902,2254
Jennifer Essad,"Winter Park, FL ",POSITIVE,0.8197667003,"RT @Crowdtappers: For @SPLENDA, natural means no artificial flavors or colors, no preservatives &amp; only non-GMO ingredients #SplendaNaturals…",Atlantic Time (Canada),Mon Sep 18 17:17:05 +0000 2017,,en,0,0,False,0,False,0,1505755025777,3666,4907,215039
Vancouver Seed Bank,"Vancouver, B.C. Canada",POSITIVE,0.6052731276000001,"RT @Health_Earth: Nigeria: Groups sue biosafety agency, ministers over permit to Mosanto for GMO cotton https://t.co/qF04tH0Qwo @NnimmoB @G…",Pacific Time (US & Canada),Mon Sep 18 17:17:07 +0000 2017,,en,0,0,False,0,False,0,1505755027541,1656,316,6429
PSU Ag & Shale Law,"State College, PA",POSITIVE,0.7694957256,"#AgLaw HotLink: ""Digital #GMO disclosure faces significant but manageable challenges, @USDA study"" @FoodNavigatorUS https://t.co/kOGjXImSEb",,Mon Sep 18 17:18:01 +0000 2017,,en,0,0,False,0,False,0,1505755081606,512,799,2157
Mark,,NEUTRAL,0.5283794999,RT @RobbFraley: European court sides with Italian farmer pushing GM crops (a sign of progress in Europe on the GMO front?) https://t.co/ax8…,,Mon Sep 18 17:18:15 +0000 2017,,en,0,0,False,0,False,0,1505755095543,2,77,13
🌸spirit✨of✨freedom,la terra firma,NEGATIVE,0.2198902965,"@ItalianFarmers accredited study gmo corn fed rats grow tumours;
GMO, Global Alert https://t.co/9BuWiW7JIq via @YouTube",Amsterdam,Mon Sep 18 17:18:24 +0000 2017,,en,0,0,False,0,False,0,1505755104668,14310,11478,380242
🌹Rose🌹,,NEUTRAL,0.5324596763,RT @VirginiaInCal: RT @rosevine3 #BoycottMiniWheats #StopBlockingGMOLabeling https://t.co/JCvCqDCZxs,,Mon Sep 18 17:18:26 +0000 2017,,und,0,0,False,0,False,0,1505755106553,19220,18511,231594
Andrew Kniss,between two warring factions,NEGATIVE,0.3457901478,🔥🔥🔥 https://t.co/Y2PbQj5GK9,Mountain Time (US & Canada),Mon Sep 18 17:18:57 +0000 2017,,und,0,0,False,0,False,0,1505755137411,6779,1989,22162
Deplorable Amy Rose,,NEGATIVE,0.0722289383,"RT @Watchme58476651: @bbusa617 Kellogg's Loves GMO Contamination of Organic - Boycott Morningstar Farms, Kashi, Bear Naked, and Gardenburge…",,Mon Sep 18 17:19:12 +0000 2017,,en,0,0,False,0,False,0,1505755152066,2361,1863,113830
Natteramn,,NEGATIVE,0.1699566841,@Hedstein GMO  ?,Amsterdam,Mon Sep 18 17:19:12 +0000 2017,,und,0,0,False,0,False,0,1505755152254,6403,5216,330387
Татьяна Анисимова,,NEUTRAL,0.5852505565,"RT @E_DinarCoin: Японская революция: GMO анонсирует 7-, 5- и 3.5 нм чипы для майнинга 
https://t.co/Ah5z5gKYjn
#blockchain… ",,Mon Sep 18 17:19:30 +0000 2017,,ru,0,0,False,0,False,0,1505755170757,481,616,2882
Ed Hanson,"Sunderland, Ontario",POSITIVE,0.7502370477,A bit of work to do but all things considered awesome  catch of non gmo corn no herbicides used https://t.co/FWO8tPoD4n,,Mon Sep 18 17:20:04 +0000 2017,,en,0,0,False,0,False,0,1505755204750,1964,838,15920
Stephen Gnos,"Millerton, NY",POSITIVE,0.6277776957,"@drumgal95 This stuff might help your back and/or any other physical pain you may be currently experiencing, and it… https://t.co/UUjCohxHuC",Atlantic Time (Canada),Mon Sep 18 17:20:09 +0000 2017,"{'id': '07d9e04fdf886005', 'url': 'https://api.twitter.com/1.1/geo/id/07d9e04fdf886005.json', 'place_type': 'poi', 'name': 'Millerton, NY', 'full_name': 'Millerton, NY', 'country_code': 'US', 'country': 'United States', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-73.523749, 41.985155], [-73.523749, 41.985155], [-73.523749, 41.985155], [-73.523749, 41.985155]]]}, 'attributes': {}}",en,0,0,False,0,False,0,1505755209341,143,1692,394
PlantBased Christian,,NEUTRAL,0.5390356779000001,RT @rosevine3: RT @VirginiaInCal  We have the right to know https://t.co/hNiotl5ymh,Mountain Time (US & Canada),Mon Sep 18 17:20:11 +0000 2017,,en,0,0,False,0,False,0,1505755211755,2244,2699,3074
Breakthrough,"Oakland, CA",NEUTRAL,0.5036559105,FOOD EVOLUTION: Come join @TheBTI for a screening of the new pro-GMO documentary in SF on Wednesday… https://t.co/Ux5Tihb2ul,Pacific Time (US & Canada),Mon Sep 18 17:20:36 +0000 2017,,en,0,0,False,0,False,0,1505755236654,9943,2783,12041
DR B K SHAH,"Ahmadabad City, India",NEUTRAL,0.4597022831,"RT @RebootExpert: Whatever anyone says, most #GMO is harmful to our #health!
https://t.co/W7FBthQEb4
#CleanEating #Healthy… ",,Mon Sep 18 17:20:43 +0000 2017,,en,0,0,False,0,False,0,1505755243368,533,4980,3534
Clay Smith,"Fayetteville, AR",POSITIVE,0.8247026205,"RT @humanprogress: Today, scholars can estimate the significant economic and human health costs of Africa's refusal to grow GMO crops. http…",,Mon Sep 18 17:21:04 +0000 2017,,en,0,0,False,0,False,0,1505755264793,423,746,2470
brainyphase,,NEGATIVE,0.331787914,"Go &amp; Grow by Similac Food Mix-ins Non-GMO Powder Packs, Toddler Food Nutrients,Stick Packs, 40.. https://t.co/jxfOcN6Po2",,Mon Sep 18 17:21:06 +0000 2017,,en,0,0,False,0,False,0,1505755266957,40,0,52733
Coq Chez,Ontario,NEGATIVE,0.0720493123,"GMO shit product you losers! Check the date, dickheads https://t.co/iE7OcxKvm3",Quito,Mon Sep 18 17:21:33 +0000 2017,,en,0,0,False,0,False,0,1505755293475,60,205,2595
alexbtc,"Denver, CO",NEGATIVE,0.031060474,"RT @HIGH_TIMES_Mag: #Optinion ""The idea of genetically modified marijuana gives me the creeps. 
GMO Cannabis? Not in My Backyard.… ",Quito,Mon Sep 18 17:22:00 +0000 2017,,en,0,0,False,0,False,0,1505755320524,27067,2993,54085
Sergii Kyselov,,NEUTRAL,0.4600480199,"RT @EDinarWorldwide: $90 Million Budget: Japan's GMO Reveals More Cryptocurrency Mining Details
https://t.co/PljJp5mqT9
#blockchain… ",Pacific Time (US & Canada),Mon Sep 18 17:22:45 +0000 2017,,en,0,0,False,0,False,0,1505755365183,458,597,2132
Woohoo9,,NEUTRAL,0.5717051029,RT @Watchme58476651: @bbusa617 Kellogg’s Cereals: Double Dose Of GMO Pesticides &amp; Antibiotics,,Mon Sep 18 17:22:50 +0000 2017,,en,0,0,False,0,False,0,1505755370256,609,943,24964
Shayn Almeida,#LA #Topanga #DivineAlkhemy,NEGATIVE,0.055372525000000006,"RT @VirginiaInCal: JOIN THE FIGHT against poison in your food and for GMO labeling !
Boycott all #Kelloggs products like #Eggo for blo… ",Pacific Time (US & Canada),Mon Sep 18 17:22:50 +0000 2017,,en,0,0,False,0,False,0,1505755370626,5984,6428,21089
Karl Haro von Mogel,"Stockton, CA",POSITIVE,0.6192380190000001,"RT @LukeRunyon: Public officials, take note of Boulder County's GMO ban on how not to roll out an extremely controversial policy: https://t…",,Mon Sep 18 17:24:01 +0000 2017,,en,0,0,False,0,False,0,1505755441061,2932,90,10754
Coolidge Theatre,"Brookline, MA",NEUTRAL,0.4795632958,"Sunday is #AHTD20017!
Free screening at 10:30am of #RevoltingRhymes followed by 2PM GMO documentary #FoodEvolution… https://t.co/OV7uawws5J",Eastern Time (US & Canada),Mon Sep 18 17:24:03 +0000 2017,,en,0,0,False,0,False,0,1505755443008,9321,2649,9043
NewRoFlo,,NEUTRAL,0.5717051029,RT @Watchme58476651: @bbusa617 Kellogg’s Cereals: Double Dose Of GMO Pesticides &amp; Antibiotics,,Mon Sep 18 17:24:36 +0000 2017,,en,0,0,False,0,False,0,1505755476379,1711,1895,56933
Jezus,,NEGATIVE,0.2796758413,@TheCanadienne Lead water and GMO food...,Central Time (US & Canada),Mon Sep 18 17:24:58 +0000 2017,,en,0,0,False,0,False,0,1505755498381,1247,732,155343
mem_somerville,,NEUTRAL,0.5958729982000001,Attention #genomics nerds. #CRISPR #GMO https://t.co/CeoUWUI6x8,Eastern Time (US & Canada),Mon Sep 18 17:25:41 +0000 2017,,en,0,0,False,0,False,0,1505755541870,4568,3201,43886
Paresh Motiwala,Greater Boston Area,NEUTRAL,0.525649488,@SqlWorldWide congrats on your first anniversary at GMO.,Eastern Time (US & Canada),Mon Sep 18 17:25:49 +0000 2017,,en,0,0,False,0,False,0,1505755549403,663,1179,3684
haidee,"Cape Town, South Africa",NEUTRAL,0.5220769048,RT @FoodSovereignGH: Nigerian Civil Society Groups Sue Government and Monsanto over Permit for GMO Cotton https://t.co/Fu5jBg1ZYR,Greenland,Mon Sep 18 17:25:54 +0000 2017,,en,0,0,False,0,False,0,1505755554309,379,190,3570
Noreen McCutchen ⤴,"Santa Cruz, CA libtard land ",NEGATIVE,0.3867583871,@watspn1013 @onedovealone @BreitbartNews Between the  GMO and huge amount of glyphsate I consider it child abuse to… https://t.co/ZWOGKyqR5B,,Mon Sep 18 17:26:06 +0000 2017,,en,0,0,False,0,False,0,1505755566454,1225,1541,8106
みはむ,"
",NEUTRAL,0.5633968115,ツケ払い滞納してGMO後払い決済サービスからオニ電来てた時ちょっと満たされてた,Pacific Time (US & Canada),Mon Sep 18 17:26:09 +0000 2017,,ja,0,0,False,0,False,0,1505755569828,1185,1104,17826
Ola Hedstein,Oslo,NEUTRAL,0.4740338027,@Natteramnoslo Såvidt jeg forstår forskes det med både ny genredigering og tradisjonell GMO,Greenland,Mon Sep 18 17:26:17 +0000 2017,,no,0,0,False,0,False,0,1505755577536,2009,2843,5874
Frank N. Foode,A farm near you,NEUTRAL,0.4440307915,RT @WyoWeeds: 🔥🔥🔥 https://t.co/Y2PbQj5GK9,Central Time (US & Canada),Mon Sep 18 17:27:05 +0000 2017,,und,0,0,False,0,False,0,1505755625641,5610,166,25605
Natteramn,,NEUTRAL,0.5551812649,RT @Hedstein: @Natteramnoslo Såvidt jeg forstår forskes det med både ny genredigering og tradisjonell GMO,Amsterdam,Mon Sep 18 17:27:14 +0000 2017,,no,0,0,False,0,False,0,1505755634099,6403,5216,330398
The Holistic Works,,POSITIVE,0.6673360467,Regain our food sovereignty in the UK with the new Shop GMO-Free App https://t.co/okcKJZTZ65,London,Mon Sep 18 17:27:57 +0000 2017,,en,0,0,False,0,False,0,1505755677365,11901,158,91428
mem_somerville,,POSITIVE,0.6748015881,RT @jjdalzell: Genetically engineeted diamondback moth field trial - commendable transparency from the start @IPMguy @Oxitec  https://t.co/…,Eastern Time (US & Canada),Mon Sep 18 17:27:58 +0000 2017,,en,0,0,False,0,False,0,1505755678420,4568,3201,43888
TheOtherART,,NEUTRAL,0.4951910377,"RT @thecoolidge: Sunday is #AHTD20017!
Free screening at 10:30am of #RevoltingRhymes followed by 2PM GMO documentary #FoodEvolution… ",Pacific Time (US & Canada),Mon Sep 18 17:28:02 +0000 2017,,en,0,0,False,0,False,0,1505755682636,279,489,5563
Frank N. Foode,A farm near you,NEUTRAL,0.5714092851,RT @GeneticLiteracy: .@Cornell’s Tony Shelton: Scientist behind #GMO moth in activist crosshairs https://t.co/iVwP23NM7X via @joanconrow… ,Central Time (US & Canada),Mon Sep 18 17:28:15 +0000 2017,,en,0,0,False,0,False,0,1505755695240,5610,166,25607
Tala awada,Lincoln NE,NEUTRAL,0.5283794999,RT @RobbFraley: European court sides with Italian farmer pushing GM crops (a sign of progress in Europe on the GMO front?) https://t.co/ax8…,,Mon Sep 18 17:28:24 +0000 2017,,en,0,0,False,0,False,0,1505755704941,180,195,194
Stickycool,,NEGATIVE,0.0722289383,"RT @Watchme58476651: @bbusa617 Kellogg's Loves GMO Contamination of Organic - Boycott Morningstar Farms, Kashi, Bear Naked, and Gardenburge…",,Mon Sep 18 17:28:45 +0000 2017,,en,0,0,False,0,False,0,1505755725398,338,495,952
Frank N. Foode,A farm near you,NEGATIVE,0.2015992701,RT @AgBioWorld: Hidden hunger: How anti-GMO activists are blocking humanitarian biofortification in Africa and Asia   https://t.co/7Tr023uG…,Central Time (US & Canada),Mon Sep 18 17:28:47 +0000 2017,,en,0,0,False,0,False,0,1505755727065,5610,166,25608
Jean-Paul Kersten,"Utrecht, Nederland",NEGATIVE,0.377341181,"GMO voedsel mag niet geweigerd worden door Europese democratieën zegt de EU. #pissedyet?
https://t.co/ttkVHWv8Z2 via @SputnikInt",,Mon Sep 18 17:28:53 +0000 2017,,nl,0,0,False,0,False,0,1505755733562,61,94,1419
Sule,visoko ,NEGATIVE,0.37113103270000003,Pitanje za @svetionicar 🤔☺️☺️ https://t.co/UNTqHgCHf2,,Mon Sep 18 17:29:04 +0000 2017,,und,0,0,False,0,False,0,1505755744443,595,552,11832
wendy hutton,drayton valley alberta,POSITIVE,0.9050832391,"Canadian-made cleaning products - all natural, organic and non-GMO! From @AOcleans and @GlimpseReviews. Contest ends 09/19!",Pacific Time (US & Canada),Mon Sep 18 17:29:37 +0000 2017,,en,0,0,False,0,False,0,1505755777167,1846,4986,348629
Johnathan J. Dalzell,"Belfast, Northern Ireland, UK",POSITIVE,0.7359524965,RT @mem_somerville: Attention #genomics nerds. #CRISPR #GMO https://t.co/CeoUWUI6x8,Dublin,Mon Sep 18 17:29:55 +0000 2017,,en,0,0,False,0,False,0,1505755795903,946,902,2255
なんやかんやで相互支援@自動フォロー返し,北半球,NEGATIVE,0.31894165280000003,"【infoQ】大手GMO運用！かんたんなアンケートやモニターであきれるくらいにポイントGet★特典付→https://t.co/C317lslG7y　（無料）

#お小遣い #副業 #相互",Tokyo,Mon Sep 18 17:30:16 +0000 2017,,ja,0,0,False,0,False,0,1505755816876,2298,2599,31975
flets_wimax,,NEUTRAL,0.5952035189,WiMAX2+でお得なキャンペーンを行っている申込をまとめました。 https://t.co/BBFCXkMBJj #WiMAX #とくとくBB #GMO #キャッシュバック #デメリット #WiMAX2+ #キャンペーン #端末無料,Irkutsk,Mon Sep 18 17:30:33 +0000 2017,,ja,0,0,False,0,False,0,1505755833628,1550,1753,30704
Jackoff of Cukkad,"Cuck Angeles, Kekifornia",POSITIVE,0.8247026205,"RT @humanprogress: Today, scholars can estimate the significant economic and human health costs of Africa's refusal to grow GMO crops. http…",Pacific Time (US & Canada),Mon Sep 18 17:30:49 +0000 2017,,en,0,0,False,0,False,0,1505755849965,1071,1376,16241
엔트로피세상,Republic of Korea,NEGATIVE,0.2374101877,"RT @HealthRanger: Monsanto, if you are so proud of your products, why won't you label them? #GMO #Monsanto https://t.co/MuEe0tTV6p",Seoul,Mon Sep 18 17:31:26 +0000 2017,,en,0,0,False,0,False,0,1505755886731,593,308,26955
Mauro,"Buenos Aires, Argentina",POSITIVE,0.8537866473,Tienen que jugar en la cancha de Gmo Brown Pto Madryn así se sienten a tono con el clima @tronco @fantinofantino @pipinovellook #fantino910,,Mon Sep 18 17:31:46 +0000 2017,,es,0,0,False,0,False,0,1505755906101,227,2134,3954
Jean,"Michigan, USA",NEUTRAL,0.5401641726,RT @NoreenMccutchen: @watspn1013 @onedovealone @BreitbartNews Between the  GMO and huge amount of glyphsate I consider it child abuse to… ,,Mon Sep 18 17:31:49 +0000 2017,,en,0,0,False,0,False,0,1505755909167,2083,1430,19672
Debbi & furbaby Jack,LaLa land California🏄,POSITIVE,0.7879302502000001,RT @NonGMOProject: Going #nongmo increased this farmer's profits and made his growing practices more environmentally sound. https://t.co/Nk…,Arizona,Mon Sep 18 17:32:20 +0000 2017,,en,0,0,False,0,False,0,1505755940604,3753,3598,45773
Chris Bagley,"Cary, NC",NEGATIVE,0.2654945254,Consumer confusion on GMOs? https://t.co/VOmYBjWZvx #GMO Thanks @Sheril_ @michiganstateu @GMOAnswers @grapedoc @franknfoode  @bayer4cropsUS,Eastern Time (US & Canada),Mon Sep 18 17:32:21 +0000 2017,,en,0,0,False,0,False,0,1505755941054,120,296,447
Debbi & furbaby Jack,LaLa land California🏄,NEGATIVE,0.0432865843,RT @NonGMOProject: African countries are being pushed to adopt a #gmo technology that a new study says is already failing in Brazil. https:…,Arizona,Mon Sep 18 17:32:25 +0000 2017,,en,0,0,False,0,False,0,1505755945832,3753,3598,45774
BUY FOLLO₩ERS :yuz,,POSITIVE,0.7879302502000001,RT @NonGMOProject: Going #nongmo increased this farmer's profits and made his growing practices more environmentally sound. https://t.co/Nk…,,Mon Sep 18 17:32:38 +0000 2017,,en,0,0,False,0,False,0,1505755958559,0,0,24
Jackoff of Cukkad,"Cuck Angeles, Kekifornia",NEGATIVE,0.3397427797,"@humanprogress I can understand that some companies exploit GMO tech for their own ends, but using this to vilify a… https://t.co/NHlDDJMWb8",Pacific Time (US & Canada),Mon Sep 18 17:32:41 +0000 2017,,en,0,0,False,0,False,0,1505755961051,1069,1376,16243
patofna,zagreb,NEGATIVE,0.0447604693,malo mi lici na gospodjin avatar https://t.co/jvo2VmTdb9,Amsterdam,Mon Sep 18 17:32:44 +0000 2017,,sl,0,0,False,0,False,0,1505755964798,572,271,15409
【ポイントタウン】お小遣い！相互フォロー,詳細はこちら,NEUTRAL,0.5496801138,"ゲームで遊ぶだけでポイントが貰えるよ！他にも色々なポイントの貯め方がある！貯まったポイントは現金や電子マネーに交換できる。

【Point Town】あの大手GMOが運営しているから安心♪
https://t.co/v2txamfZKv",,Mon Sep 18 17:32:59 +0000 2017,,ja,0,0,False,0,False,0,1505755979732,12573,12686,4532
🌸spirit✨of✨freedom,la terra firma,NEGATIVE,0.2847354114,"@diariopordenone @Ansa_Fvg accredited study gmo corn fed rats grow tumours;
GMO, Global Alert https://t.co/9BuWiW7JIq via @YouTube",Amsterdam,Mon Sep 18 17:33:46 +0000 2017,,en,0,0,False,0,False,0,1505756026515,14310,11478,380244
Liv,,NEGATIVE,0.0940678269,"RT @MikalaDenney: people will only eat organic foods bc GMOS are bad but own a mini labra-toy-yorkie-shih tzu-doodle

....your dog is a GMO.",,Mon Sep 18 17:34:25 +0000 2017,,en,0,0,False,0,False,0,1505756065069,186,390,3350
Newletterinfo,,NEGATIVE,0.2649294734,What to be afraid of What products actually contain GMO and in what it is absent https://t.co/vBujoPdqJ9 https://t.co/jObsKDDkSB,Pacific Time (US & Canada),Mon Sep 18 17:34:25 +0000 2017,,en,0,0,False,0,False,0,1505756065258,51,425,11777
Real eFood,,POSITIVE,0.9419062734,RT @nonGMOclean: Soon we will be your one-stop grocery stop online! Lowest prices on clean organic &amp; non-gmo products! Grand Opening… ,Atlantic Time (Canada),Mon Sep 18 17:35:01 +0000 2017,,en,0,0,False,0,False,0,1505756101848,523,256,25321
AgribusinessCentre,Nigeria,NEUTRAL,0.5286168456,"RT @proinyuca: Modified Cassava in Nigeria.

Read more at: https://t.co/AoyLo4NHWy
Vanguard News Nigeria https://t.co/AoyLo4NHWy",Pacific Time (US & Canada),Mon Sep 18 17:35:25 +0000 2017,,en,0,0,False,0,False,0,1505756125599,105,8,664
mem_somerville,,NEGATIVE,0.3050469756,RT @waterbourn: Consumer confusion on GMOs? https://t.co/VOmYBjWZvx #GMO Thanks @Sheril_ @michiganstateu @GMOAnswers @grapedoc @franknfoode…,Eastern Time (US & Canada),Mon Sep 18 17:35:30 +0000 2017,,en,0,0,False,0,False,0,1505756130079,4568,3201,43889
Celesta Flener,,NEUTRAL,0.48162755370000004,"Veliko BRAVO za Cacane, NE GMO",,Mon Sep 18 17:35:52 +0000 2017,,sl,0,0,False,0,False,0,1505756152526,0,26,2
優待図書館,日本,NEUTRAL,0.40870279070000004,GMOインターネット（9449）：GMOクリック証券の手数料キャッシュバックがうれしい！他にも様々な割引特典あり #優待 https://t.co/DUPqSm1eeF,Tokyo,Mon Sep 18 17:36:20 +0000 2017,,ja,0,0,False,0,False,0,1505756180310,0,0,60
Dano Scully,Tercer mundo. ,NEUTRAL,0.5094507337,RT @BaguetteFC: Neymar “People wonder why there aren’t fat footballers in Ligue 1. All players grow their own non GMO 100% organic… ,Central Time (US & Canada),Mon Sep 18 17:36:40 +0000 2017,,en,0,0,False,0,False,0,1505756200628,769,150,4808
Savemoney,,NEUTRAL,0.5782322884000001,"▼おこづかいサイト
https://t.co/zOPAzeh0iT
GMO運営で安心！ #副収入",,Mon Sep 18 17:36:46 +0000 2017,,ja,0,0,False,0,False,0,1505756206920,98,139,2799
daniela scaramuzza,"Los Angeles, CA",POSITIVE,0.6214476228,RT @scaramuzza_d: YOUR SILENCE GIVES CONSENT - PLATO #NonGMO  #quoteoftheday  #quote #organic #organicfood #simangiatv #GMO https://t.co/lN…,Pacific Time (US & Canada),Mon Sep 18 17:37:03 +0000 2017,,en,0,0,False,0,False,0,1505756223082,22209,9915,533
daniela scaramuzza,"Los Angeles, CA",POSITIVE,0.6214476228,RT @scaramuzza_d: YOUR SILENCE GIVES CONSENT - PLATO #NonGMO  #quoteoftheday  #quote #organic #organicfood #simangiatv #GMO https://t.co/lN…,Pacific Time (US & Canada),Mon Sep 18 17:37:07 +0000 2017,,en,0,0,False,0,False,0,1505756227262,22209,9915,533
daniela scaramuzza,"Los Angeles, CA",POSITIVE,0.6214476228,RT @scaramuzza_d: YOUR SILENCE GIVES CONSENT - PLATO #NonGMO  #quoteoftheday  #quote #organic #organicfood #simangiatv #GMO https://t.co/lN…,Pacific Time (US & Canada),Mon Sep 18 17:37:17 +0000 2017,,en,0,0,False,0,False,0,1505756237517,22209,9915,533
daniela scaramuzza,"Los Angeles, CA",POSITIVE,0.6214476228,RT @scaramuzza_d: YOUR SILENCE GIVES CONSENT - PLATO #NonGMO  #quoteoftheday  #quote #organic #organicfood #simangiatv #GMO https://t.co/lN…,Pacific Time (US & Canada),Mon Sep 18 17:37:24 +0000 2017,,en,0,0,False,0,False,0,1505756244496,22209,9915,533
イカミモトヒロ＠集客請負人,関西,NEGATIVE,0.2703213096,曰く、、あなたに解決できない問題は、あなたに起こらない。　https://t.co/LZlfyI1uli　by 熊谷正寿by GMO #起業 #経営 #相互 #ビジネス,,Mon Sep 18 17:37:38 +0000 2017,,ja,0,0,False,0,False,0,1505756258516,1421,1306,28727
RunningStatus.IN,,NEGATIVE,0.1603440642,58603 started on 18/09/2017 Reached its destination GMO and was On Time https://t.co/asirBP4Rmp,,Mon Sep 18 17:37:46 +0000 2017,,en,0,0,False,0,False,0,1505756266379,426,0,4132480
Richawd V,West Hawk Lake ,NEUTRAL,0.5589691997,RT @trevorcharles: @AWCanada @CandiceJBauer @PremierBradWall ACE you say? That raises another important issue. https://t.co/brT5wYqjHl,Central Time (US & Canada),Mon Sep 18 17:37:48 +0000 2017,,en,0,0,False,0,False,0,1505756268998,506,1404,7757
healthandbeauty,United States,NEUTRAL,0.5378884673000001,#health #beauty Buy Now: $38.24 New Nordic Hair Volume Non GMO VEGAN Swedish Apple... https://t.co/QbB8qFGgT4 https://t.co/cwlt5Zz7Ca,Pacific Time (US & Canada),Mon Sep 18 17:38:57 +0000 2017,,en,0,0,False,0,False,0,1505756337026,1084,547,256931
Naadin Devon,,POSITIVE,0.9811757207,"RT @batshaahar: @astrolovecosmos Yogi is my favorite if you're not making your own. All organic, non gmo and there's a variety of blends",,Mon Sep 18 17:39:00 +0000 2017,,en,0,0,False,0,False,0,1505756340727,33,46,97
Frank N. Foode,A farm near you,NEGATIVE,0.3050469756,RT @waterbourn: Consumer confusion on GMOs? https://t.co/VOmYBjWZvx #GMO Thanks @Sheril_ @michiganstateu @GMOAnswers @grapedoc @franknfoode…,Central Time (US & Canada),Mon Sep 18 17:39:13 +0000 2017,,en,0,0,False,0,False,0,1505756353325,5610,166,25609
Epiphany,"Chicago, IL",NEUTRAL,0.4107717574,"I've met some pretty fucked up people who were raw, organic, non-gmo, vegan...

Diet doesn't mean shit if you ain't right within.",Central Time (US & Canada),Mon Sep 18 17:39:51 +0000 2017,,en,0,0,False,0,False,0,1505756391529,7803,5653,7450
Logan Carson,,POSITIVE,0.9581947923,RT @Sakuntala1: This is great. https://t.co/VRTxyEp8BA,,Mon Sep 18 17:39:54 +0000 2017,,en,0,0,False,0,False,0,1505756394272,12,0,1487
